D;26;1;14;0.321865;0.33617;2.43783;0.125885;0;3.23081
D;26;2;14;0.321865;0.30899;2.43306;0.154018;0;3.22914
D;26;4;13;0.320911;0.370026;2.31504;0.194073;0;3.20697
D;26;8;13;0.324965;0.374079;2.33006;0.118017;0;3.15499
D;26;16;12;0.32115;0.297785;2.26402;0.117064;0;3.00813
D;26;32;12;0.322104;0.369072;2.28882;0.142813;0;3.12901
D;26;64;11;0.333071;0.354052;2.25806;0.267029;0;3.22008
D;26;128;11;0.325918;0.358105;2.33197;0.170946;0;3.19695
D;26;256;10;0.323057;0.392914;2.12812;0.149012;0;2.99907
D;26;512;10;0.307083;0.314951;2.14505;0.236034;0;3.01194
D;26;1024;9;0.319004;0.302792;2.12812;0.168085;0;2.92611
D;26;2048;9;0.326872;0.429153;2.21896;0.171185;0;3.15499
D;26;4096;8;0.336885;0.644922;2.10023;0.146151;0;3.23415
D;26;8192;8;0.336885;0.622034;2.13099;0.181913;0;3.27992
D;26;16384;7;0.346899;0.689983;2.22707;0.192881;0;3.46398
D;26;32768;7;0.339031;0.709057;2.16389;0.324011;0;3.54505
D;26;65536;6;0.44322;0.820875;2.28095;0.375986;0;3.93009
D;26;131072;6;0.433922;0.80204;2.29692;0.509024;0;4.05002
B;26;262144;5;0.569105;3.81899;0.138998;0.477076;0;5.01108
B;26;524288;5;0.57292;4.08292;0.250101;1.31202;0;6.22487
B;26;1048576;5;0.574827;4.02999;0.488997;1.9989;0;7.09987
