1073741824;1;16384;1
1073741824;2;16384;2
1073741824;4;32768;4
1073741824;8;32768;8
1073741824;16;65536;16
1073741824;32;65536;32
1073741824;64;131072;64
1073741824;128;131072;128
1073741824;256;262144;256
1073741824;512;262144;513
1073741824;1024;524288;1026
1073741824;2048;524288;2052
1073741824;4096;1048576;4110
1073741824;8192;1048576;8233
1073741824;16384;2097152;16445
1073741824;32768;2097152;33006
1073741824;65536;4194304;66028
1073741824;131072;4194304;133162
1073741824;262144;8388608;266321
1073741824;524288;8388608;541398
1073741824;1048576;16777216;1082198
1073741824;2097152;16777216;2238761
1073741824;4194304;67108864;7926588
1073741824;8388608;67108864;15082782
1073741824;16777216;134217728;30237430
4194304;524288;1048576;783408
8388608;524288;2097152;875015
16777216;524288;2097152;871102
33554432;524288;4194304;944726
67108864;524288;4194304;942733
134217728;524288;8388608;990641
268435456;524288;4194304;559419
536870912;524288;8388608;540913
1073741824;524288;8388608;541143
